bin.chrom	bin.start	bin.end	window
chr10	50254618	52093890	1839273
chr10	80759731	82121592	1361862
chr10	88692109	90105129	1413021
chr10	127692634	128921179	1228546
chr10	134314867	135534746	1219880
chr11	0	1375471	1375472
chr11	2465382	3760337	1294956
chr11	3760338	5002912	1242575
chr11	47946169	49502328	1556160
chr11	49502329	51388598	1886270
chr11	51388599	55895441	4506843
chr11	67539283	68817029	1277747
chr11	71097666	72406066	1308401
chr11	87939718	89222864	1283147
chr11	89222865	90723676	1500812
chr11	96208959	97457618	1248660
chr12	0	1302079	1302080
chr12	8001768	9365234	1363467
chr12	9365235	10661836	1296602
chr12	34027346	38358433	4331088
chr12	132105302	133354164	1248863
chr13	0	20636301	20636302
chr13	52702130	53995119	1292990
chr13	86268889	87495297	1226409
chr13	112263017	113514303	1251287
chr14	0	21204839	21204840
chr14	105321631	106623276	1301646
chr15	0	23759947	23759948
chr15	23759948	25086125	1326178
chr15	28293701	29966208	1672508
chr15	29966209	31682997	1716789
chr15	31682998	33274406	1591409
chr15	34363913	35597493	1233581
chr15	43350150	44649157	1299008
chr15	81476671	83237782	1761112
chr15	84374872	85853881	1479010
chr16	0	1216399	1216400
chr16	13759679	15181665	1421987
chr16	15181666	17087569	1905904
chr16	18255731	19916500	1660770
chr16	19916501	21125559	1209059
chr16	21125560	22804363	1678804
chr16	28357937	30422317	2064381
chr16	31651441	34410498	2759058
chr16	34410499	46747945	12337447
chr16	69822706	71465267	1642562
chr16	73687118	74904764	1217647
chr17	0	1342401	1342402
chr17	15105272	16470755	1365484
chr17	16470756	17740233	1269478
chr17	17740234	19433579	1693346
chr17	19433580	20917987	1484408
chr17	20917988	25397061	4479074
chr17	28861004	30161184	1300181
chr17	30161185	31404722	1243538
chr17	33540118	35019978	1479861
chr17	36130865	37494766	1363902
chr17	43355124	45027417	1672294
chr17	59789564	61075124	1285561
chr17	62198447	63507762	1309316
chr17	76977635	78204837	1227203
chr18	13430736	15062710	1631975
chr18	15062711	19565828	4503118
chr18	51959077	53165792	1206716
chr19	0	1441010	1441011
chr19	6236523	7587956	1351434
chr19	7587957	8933959	1346003
chr19	19917111	21301390	1384280
chr19	23870955	28255522	4384568
chr19	42181621	43447213	1265593
chr19	43447214	44792541	1345328
chr19	54620275	55988346	1368072
chr20	25153060	29983090	4830031
chr21	0	15764760	15764761
chr22	0	18292459	18292460
chr22	18292460	19671866	1379407
chr22	19671867	21215160	1543294
chr22	21215161	22842319	1627159
chrX	0	1768254	1768255
chrX	3069343	4330179	1260837
chrX	47775185	49141782	1366598
chrX	49141783	50497330	1355548
chrX	51725712	53705196	1979485
chrX	57600365	61995962	4395598
chrX	61995963	63323608	1327646
chrX	70508597	71817577	1308981
chrX	71817578	73329831	1512254
chrX	75875965	77198483	1322519
chrX	87522231	88993991	1471761
chrX	88993992	91456733	2462742
chrX	91456734	93120525	1663792
chrX	101006259	102480519	1474261
chrX	119879590	121117848	1238259
chrX	134716999	135957931	1240933
chrX	139372749	140752714	1379966
chrX	143000631	144243667	1243037
chrX	148709863	150000095	1290233
chrX	151117944	152565542	1447599
chrX	152565543	153835261	1269719
chrY	0	5586588	5586589
chrY	5586589	7597986	2011398
chrY	8686339	13845301	5158963
chrY	17528785	18914576	1385792
chrY	18914577	21479581	2565005
chrY	21479582	22889811	1410230
chrY	22889812	28541924	5652113
